Months_loan_taken_for,Purpose,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant,Primary_applicant_age_in_years,Gender,Marital_status,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,other_emi,employed_range,Principal_loan_amount_log
12,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,0,46,0,divorced/separated/married,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.62688511988887
30,new vehicle,4,No Property,0,1,1,existing loans paid back duly till now,1,24,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,1 year - 4 years,14.580978400103843
24,FF&E,2,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0,35,1,single,1,3,skilled employee / official,1,Low,0,1 year - 4 years,15.238859827035176
9,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,0,24,1,single,1,1,skilled employee / official,1,None,0,4 years - 7 years,14.52354635101797
60,electronic equipment,1,real estate,0,0,1,delay in paying off loans in the past,0,27,1,single,1,1,unskilled - resident,1,None,0,1 year - 4 years,15.819420037031673
24,electronic equipment,4,real estate,0,0,2,critical/pending loans at other banks,0,35,1,single,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.802818777073709
12,electronic equipment,4,No Property,0,0,1,paid,1,29,1,divorced/separated/married,0,1,skilled employee / official,1,Low,0,1 year - 4 years,14.580513175624649
15,used vehicle,1,car or other,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,0 year - 1 year,15.15366454375623
11,electronic equipment,4,real estate,0,0,3,critical/pending loans at other banks,0,57,0,divorced/separated/married,1,4,unskilled - resident,1,Low,0,None,13.95874472605018
12,FF&E,2,real estate,0,0,1,existing loans paid back duly till now,0,27,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.3205192964087
24,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,55,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,7 years and up,14.28738743159169
18,new vehicle,2,No Property,0,0,3,critical/pending loans at other banks,0,36,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,15.483594665831108
12,education,2,No Property,0,0,3,critical/pending loans at other banks,0,57,0,divorced/separated/married,0,4,unskilled - resident,1,Low,1,7 years and up,14.826383932324378
10,new vehicle,3,real estate,0,0,2,critical/pending loans at other banks,0,32,1,single,1,4,unskilled - resident,0,Low,0,7 years and up,14.02333740516659
15,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,1,37,1,single,1,3,skilled employee / official,1,Low,0,7 years and up,13.594863886848652
36,business,4,real estate,0,0,2,critical/pending loans at other banks,0,36,1,single,1,4,skilled employee / official,1,None,0,7 years and up,15.656694910519851
24,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,38,0,divorced/separated/married,1,3,skilled employee / official,1,Low,1,0 year - 1 year,14.24273715785395
14,new vehicle,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,45,1,divorced/separated/married,1,4,management / self-employed / highly qualified employee / officer,0,Low,0,7 years and up,16.010287698324014
24,electronic equipment,4,car or other,0,0,2,existing loans paid back duly till now,0,25,1,single,1,2,skilled employee / official,1,None,0,7 years and up,13.81451005763069
18,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,32,1,single,1,3,skilled employee / official,0,None,0,4 years - 7 years,14.794588277937194
12,FF&E,3,car or other,0,0,1,critical/pending loans at other banks,0,37,0,divorced/separated/married,0,4,skilled employee / official,1,High,0,4 years - 7 years,14.153410346576672
48,new vehicle,4,No Property,1,0,1,paid,0,36,1,single,0,4,management / self-employed / highly qualified employee / officer,1,None,0,None,16.31440229231894
48,electronic equipment,4,real estate,0,0,2,existing loans paid back duly till now,1,28,1,single,1,4,skilled employee / official,1,Low,0,4 years - 7 years,14.933925473928564
30,FF&E,1,No Property,0,0,1,existing loans paid back duly till now,1,34,1,divorced/separated/married,1,1,unskilled - resident,1,Low,0,0 year - 1 year,16.300250527195175
9,electronic equipment,1,real estate,0,0,1,existing loans paid back duly till now,0,32,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.807650602121868
18,electronic equipment,2,car or other,0,0,2,critical/pending loans at other banks,0,26,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.692644574637235
12,FF&E,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,49,1,divorced/separated/married,1,4,unskilled - resident,1,None,0,7 years and up,14.048208322083296
6,FF&E,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,32,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,0 year - 1 year,15.343955311188845
24,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,29,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,14.457890621470566
15,used vehicle,3,No Property,0,0,2,critical/pending loans at other banks,0,23,1,single,0,4,skilled employee / official,1,High,0,7 years and up,15.029829654344354
12,FF&E,4,real estate,0,0,1,existing loans paid back duly till now,0,50,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.269130707959484
18,electronic equipment,4,car or other,0,0,1,paid,0,49,1,single,1,4,unskilled - resident,1,None,1,4 years - 7 years,14.183619879528669
15,FF&E,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0,63,1,single,1,4,skilled employee / official,1,None,0,7 years and up,14.234220892822458
24,new vehicle,4,car or other,0,0,1,critical/pending loans at other banks,0,37,1,divorced/separated/married,1,2,skilled employee / official,1,Low,0,0 year - 1 year,15.170830114784732
47,new vehicle,1,real estate,0,0,1,existing loans paid back duly till now,0,35,0,divorced/separated/married,1,1,unskilled - resident,1,Low,0,0 year - 1 year,16.18780826336962
48,used vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,26,1,single,1,3,skilled employee / official,1,Low,0,4 years - 7 years,15.38162334566
48,None,2,No Property,0,0,1,delay in paying off loans in the past,0,31,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,None,15.841287575058416
12,electronic equipment,4,real estate,0,1,2,existing loans paid back duly till now,0,49,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,1 year - 4 years,13.903521435286988
24,electronic equipment,4,real estate,0,0,1,delay in paying off loans in the past,1,48,1,married/widowed,1,4,skilled employee / official,1,Low,1,0 year - 1 year,13.83922708458159
12,business,2,real estate,0,0,1,existing loans paid back duly till now,0,26,1,married/widowed,1,2,skilled employee / official,0,Low,0,1 year - 4 years,13.888761019703868
36,used vehicle,1,car or other,0,0,1,existing loans paid back duly till now,1,28,1,married/widowed,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,0 year - 1 year,16.0560074586449
24,used vehicle,2,No Property,0,0,2,critical/pending loans at other banks,0,44,0,divorced/separated/married,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,15.674772900293917
42,used vehicle,4,No Property,0,0,1,critical/pending loans at other banks,0,56,1,single,0,4,skilled employee / official,1,Low,0,7 years and up,15.383292795129542
48,business,4,car or other,0,0,2,critical/pending loans at other banks,0,46,1,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,None,1,7 years and up,15.847467333072366
48,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,1,26,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,0 year - 1 year,16.114087629560782
12,used vehicle,1,car or other,0,0,1,existing loans paid back duly till now,0,20,0,divorced/separated/married,0,4,skilled employee / official,1,None,0,0 year - 1 year,15.357739720704924
10,new vehicle,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,0,45,1,single,1,2,unskilled - resident,0,None,0,7 years and up,14.067824486578264
18,FF&E,3,real estate,0,0,1,existing loans paid back duly till now,0,43,1,single,1,4,skilled employee / official,1,Low,0,1 year - 4 years,14.737783361515977
21,FF&E,3,car or other,0,0,2,critical/pending loans at other banks,0,32,1,single,1,2,skilled employee / official,1,High,0,4 years - 7 years,14.825291632925769
6,new vehicle,1,real estate,0,0,1,existing loans paid back duly till now,0,54,0,divorced/separated/married,1,4,unemployed / unskilled - non-resident,1,Low,0,None,13.418013619505286
36,electronic equipment,4,car or other,0,0,1,paid,1,42,0,divorced/separated/married,1,1,skilled employee / official,1,Low,0,1 year - 4 years,15.15156370264742
24,new vehicle,4,real estate,0,0,2,critical/pending loans at other banks,1,37,1,single,1,2,unskilled - resident,1,None,1,4 years - 7 years,14.111160800065232
10,new vehicle,4,building society savings agreement/life insurance,1,0,2,critical/pending loans at other banks,0,49,1,single,1,3,skilled employee / official,1,Low,0,4 years - 7 years,13.852806342707972
48,new vehicle,2,No Property,0,0,1,critical/pending loans at other banks,1,44,1,single,0,2,skilled employee / official,1,High,1,1 year - 4 years,16.13071568231442
6,FF&E,4,real estate,0,0,1,existing loans paid back duly till now,0,33,1,divorced/separated/married,1,2,skilled employee / official,1,High,0,1 year - 4 years,14.249239131345298
30,used vehicle,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,24,0,divorced/separated/married,0,4,unskilled - resident,1,None,1,4 years - 7 years,15.386415520681592
12,electronic equipment,4,No Property,0,0,1,existing loans paid back duly till now,1,33,1,married/widowed,1,3,unskilled - resident,1,Low,0,0 year - 1 year,13.496681756515656
8,FF&E,3,real estate,0,0,1,existing loans paid back duly till now,1,24,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,1 year - 4 years,14.028199651374624
9,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,22,1,married/widowed,0,4,unskilled - resident,1,Low,0,1 year - 4 years,12.528156144699286
48,None,3,No Property,0,0,1,existing loans paid back duly till now,0,40,1,single,0,4,unemployed / unskilled - non-resident,1,None,1,None,15.498384788471556
24,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,0,25,1,single,1,1,skilled employee / official,1,Low,1,1 year - 4 years,15.522256652865371
24,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,0,26,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,0 year - 1 year,15.13699969571805
12,new vehicle,2,car or other,0,0,1,existing loans paid back duly till now,1,25,1,married/widowed,1,3,unskilled - resident,1,Low,1,4 years - 7 years,13.437174117244362
4,new vehicle,1,real estate,0,0,1,existing loans paid back duly till now,0,29,1,single,1,2,unskilled - resident,0,None,0,0 year - 1 year,14.2169676446749
36,FF&E,4,car or other,0,0,1,paid,1,31,1,single,1,4,skilled employee / official,1,Low,1,7 years and up,14.825655865310054
12,FF&E,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0,38,1,single,1,3,unskilled - resident,1,Low,0,1 year - 4 years,13.470199372675856
24,FF&E,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,48,0,divorced/separated/married,1,4,unskilled - resident,1,None,0,1 year - 4 years,15.285916261702818
12,education,4,car or other,0,0,2,critical/pending loans at other banks,0,32,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,13.460263166016729
15,FF&E,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0,27,0,divorced/separated/married,1,4,unskilled - resident,1,Low,0,7 years and up,15.1083180759907
30,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,1,28,1,married/widowed,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,None,15.262194219096948
24,electronic equipment,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,32,1,divorced/separated/married,1,3,skilled employee / official,1,Low,0,0 year - 1 year,14.477167071432849
24,used vehicle,2,No Property,0,0,1,existing loans paid back duly till now,0,34,1,single,0,1,management / self-employed / highly qualified employee / officer,1,Low,0,4 years - 7 years,14.883663639147676
18,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,0,28,1,single,1,2,skilled employee / official,1,High,0,1 year - 4 years,14.793460670225157
18,new vehicle,4,real estate,0,0,2,critical/pending loans at other banks,0,36,0,divorced/separated/married,1,3,skilled employee / official,1,Low,0,1 year - 4 years,13.843125724997249
8,new vehicle,1,real estate,0,0,2,critical/pending loans at other banks,0,39,1,single,1,4,unskilled - resident,0,Low,0,4 years - 7 years,15.038697581214016
12,FF&E,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0,49,1,single,0,4,skilled employee / official,1,None,0,7 years and up,15.573540874448202
24,new vehicle,4,car or other,0,0,1,existing loans paid back duly till now,0,34,0,divorced/separated/married,1,3,skilled employee / official,1,High,0,4 years - 7 years,14.237504968023648
36,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,31,1,single,1,2,skilled employee / official,1,Low,0,7 years and up,15.313569882414985
6,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,28,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,13.881298298502276
24,used vehicle,2,No Property,0,0,2,critical/pending loans at other banks,0,75,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,None,15.704850355531192
18,education,4,real estate,0,0,2,critical/pending loans at other banks,1,30,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.438235274227674
60,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,24,0,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,0 year - 1 year,15.818071055308152
48,used vehicle,2,car or other,0,0,2,critical/pending loans at other banks,1,24,0,divorced/separated/married,0,4,unskilled - resident,1,Low,1,1 year - 4 years,16.265653215315936
24,FF&E,3,No Property,0,0,2,paid,1,23,1,single,0,4,skilled employee / official,1,Low,1,7 years and up,15.228933586472415
6,FF&E,1,real estate,0,0,1,critical/pending loans at other banks,1,44,1,divorced/separated/married,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,15.03456899970825
13,electronic equipment,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,1,4,unskilled - resident,1,Low,0,0 year - 1 year,14.557923979827136
15,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,1,24,0,divorced/separated/married,0,2,skilled employee / official,1,None,0,1 year - 4 years,14.058456736574664
24,FF&E,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,28,1,single,1,4,skilled employee / official,1,Low,0,1 year - 4 years,15.243186756862936
10,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,0,31,1,divorced/separated/married,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.23487857124143
24,education,2,No Property,0,0,2,critical/pending loans at other banks,0,24,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,0 year - 1 year,15.563492279846434
21,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,0,26,0,divorced/separated/married,0,4,unskilled - resident,1,Low,0,4 years - 7 years,15.096166587061168
18,electronic equipment,1,real estate,0,0,1,existing loans paid back duly till now,0,25,1,married/widowed,0,3,skilled employee / official,1,High,0,0 year - 1 year,14.982715638097996
18,business,1,real estate,1,0,1,existing loans paid back duly till now,0,33,1,single,1,1,management / self-employed / highly qualified employee / officer,1,Low,1,7 years and up,15.305939683816172
10,new vehicle,1,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0,37,1,single,1,1,unskilled - resident,1,Low,0,0 year - 1 year,15.188972940268789
15,electronic equipment,4,car or other,0,0,1,critical/pending loans at other banks,0,43,0,divorced/separated/married,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.193261827504925
13,electronic equipment,4,real estate,0,1,2,critical/pending loans at other banks,0,23,1,single,1,4,skilled employee / official,1,Low,0,0 year - 1 year,13.68994733498893
24,electronic equipment,1,No Property,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,0,4,unemployed / unskilled - non-resident,1,High,0,None,15.139397458955548
6,business,1,real estate,0,0,2,delay in paying off loans in the past,0,34,1,single,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.371118324502158
9,education,4,No Property,0,0,2,critical/pending loans at other banks,1,32,1,single,0,3,skilled employee / official,1,High,0,7 years and up,13.943023878263231
9,FF&E,1,real estate,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,0 year - 1 year,14.027390916999773
9,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,1,29,0,divorced/separated/married,1,2,skilled employee / official,0,Low,0,1 year - 4 years,13.773646353865574
18,used vehicle,2,No Property,0,0,1,critical/pending loans at other banks,0,38,1,single,1,4,management / self-employed / highly qualified employee / officer,1,None,0,None,14.987683049740411
12,electronic equipment,4,building society savings agreement/life insurance,0,0,2,paid,1,28,1,single,0,2,skilled employee / official,1,Low,0,1 year - 4 years,15.639898546684057
10,education,4,No Property,0,0,1,existing loans paid back duly till now,0,46,1,single,0,4,skilled employee / official,1,High,0,7 years and up,13.496681756515656
24,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,1,23,1,single,1,2,unskilled - resident,1,Low,1,0 year - 1 year,14.035448978329535
12,electronic equipment,1,real estate,1,0,1,critical/pending loans at other banks,0,49,1,single,1,4,skilled employee / official,1,None,0,7 years and up,14.661807918017894
36,electronic equipment,4,car or other,0,0,2,delay in paying off loans in the past,1,26,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,15.311331743611406
12,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,0,28,1,married/widowed,1,2,skilled employee / official,1,Low,0,1 year - 4 years,13.561907799165356
30,FF&E,4,real estate,0,0,1,existing loans paid back duly till now,1,23,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,4 years - 7 years,14.69347617551676
18,education,4,No Property,0,0,1,existing loans paid back duly till now,0,61,1,single,0,4,skilled employee / official,1,None,0,1 year - 4 years,14.02981516061128
12,electronic equipment,2,car or other,0,0,1,existing loans paid back duly till now,0,37,1,single,1,3,management / self-employed / highly qualified employee / officer,1,None,0,7 years and up,15.038991828678252
12,new vehicle,2,car or other,0,0,2,delay in paying off loans in the past,0,36,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,1 year - 4 years,14.625106551167466
6,FF&E,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,21,1,married/widowed,0,2,skilled employee / official,1,Low,0,1 year - 4 years,14.384227660146042
18,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,1,25,1,single,1,1,unemployed / unskilled - non-resident,1,Low,0,None,14.720942546503553
12,business,2,car or other,0,0,1,existing loans paid back duly till now,0,36,1,single,1,4,skilled employee / official,1,Low,0,4 years - 7 years,14.248590833105412
18,used vehicle,3,car or other,0,0,2,critical/pending loans at other banks,0,27,1,single,1,1,skilled employee / official,1,Low,0,4 years - 7 years,15.163583706263967
18,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,0,22,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,0 year - 1 year,15.110237725558674
36,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,1,42,1,single,1,2,skilled employee / official,1,Low,0,7 years and up,15.052724696070012
18,FF&E,2,real estate,0,0,1,existing loans paid back duly till now,0,40,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,4 years - 7 years,14.914456124422504
36,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,36,1,single,1,4,skilled employee / official,1,None,0,1 year - 4 years,14.940115426906637
18,electronic equipment,3,car or other,0,0,2,critical/pending loans at other banks,0,33,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,15.61886916303568
10,FF&E,1,real estate,0,0,2,critical/pending loans at other banks,0,23,0,divorced/separated/married,0,3,skilled employee / official,1,Low,0,0 year - 1 year,14.57911620217278
60,new vehicle,2,No Property,0,0,1,critical/pending loans at other banks,0,63,1,single,0,4,management / self-employed / highly qualified employee / officer,1,None,1,7 years and up,16.436985650534293
60,None,3,No Property,0,0,2,paid,1,60,0,divorced/separated/married,0,4,management / self-employed / highly qualified employee / officer,1,Low,1,7 years and up,16.508920782326967
48,business,2,car or other,0,1,1,paid,1,37,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,4 years - 7 years,15.854780934954832
18,electronic equipment,2,real estate,0,0,2,delay in paying off loans in the past,0,34,1,married/widowed,1,3,skilled employee / official,1,Low,0,None,14.657077743642493
7,electronic equipment,3,No Property,0,0,1,delay in paying off loans in the past,0,36,1,single,0,4,skilled employee / official,1,None,0,7 years and up,13.64827463858836
36,new vehicle,4,No Property,0,0,1,existing loans paid back duly till now,1,57,1,single,0,2,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,16.47702804493827
6,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,52,0,divorced/separated/married,1,4,unskilled - resident,1,Low,0,1 year - 4 years,12.799399490807907
20,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,0,39,1,single,1,4,skilled employee / official,1,None,0,4 years - 7 years,14.609407641624362
18,used vehicle,3,No Property,0,0,1,existing loans paid back duly till now,1,38,0,divorced/separated/married,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,None,16.37861205533733
22,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,25,0,divorced/separated/married,0,4,skilled employee / official,1,None,0,4 years - 7 years,14.064711643597771
12,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,26,1,single,1,1,skilled employee / official,1,Low,0,0 year - 1 year,14.100689500197936
30,business,2,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0,26,1,single,1,2,unskilled - resident,1,Low,0,1 year - 4 years,15.267592659622167
18,electronic equipment,2,car or other,0,0,2,critical/pending loans at other banks,0,25,0,divorced/separated/married,1,1,skilled employee / official,1,Low,0,1 year - 4 years,14.621093167854008
18,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,0,21,0,divorced/separated/married,0,2,skilled employee / official,1,None,0,0 year - 1 year,13.934182087681773
18,FF&E,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,40,1,single,1,4,management / self-employed / highly qualified employee / officer,1,Low,1,None,15.813470857776228
15,business,2,car or other,0,0,1,critical/pending loans at other banks,0,27,1,single,1,4,skilled employee / official,1,High,1,1 year - 4 years,14.659660612060748
9,business,3,car or other,0,0,2,existing loans paid back duly till now,0,27,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,4 years - 7 years,14.18638422130282
18,new vehicle,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,30,1,married/widowed,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,14.41434705905298
12,FF&E,1,real estate,0,0,1,existing loans paid back duly till now,0,19,0,divorced/separated/married,0,4,unskilled - resident,1,High,0,0 year - 1 year,13.798364399129303
36,new vehicle,2,No Property,0,0,1,existing loans paid back duly till now,0,39,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,1,4 years - 7 years,14.993857814651236
6,electronic equipment,1,car or other,0,0,1,critical/pending loans at other banks,0,31,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,4 years - 7 years,14.486923246378211
9,FF&E,2,car or other,0,0,1,critical/pending loans at other banks,0,31,1,single,1,3,management / self-employed / highly qualified employee / officer,1,Low,0,None,14.69347617551676
39,education,2,No Property,0,0,1,delay in paying off loans in the past,0,32,1,single,0,3,skilled employee / official,1,Low,0,4 years - 7 years,16.280214500434756
12,FF&E,3,No Property,0,0,1,existing loans paid back duly till now,0,55,0,divorced/separated/married,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,None,14.76252446248127
36,FF&E,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,46,1,married/widowed,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.669074459930124
12,new vehicle,1,real estate,0,0,2,existing loans paid back duly till now,1,46,1,divorced/separated/married,0,1,skilled employee / official,1,Low,0,7 years and up,14.01681741466931
24,electronic equipment,4,real estate,0,0,2,critical/pending loans at other banks,0,43,0,divorced/separated/married,1,1,unskilled - resident,1,High,0,1 year - 4 years,14.231585845184457
18,electronic equipment,3,real estate,0,0,1,existing loans paid back duly till now,0,39,1,married/widowed,1,4,skilled employee / official,1,Low,0,0 year - 1 year,14.202811695444767
18,business,4,real estate,0,0,2,critical/pending loans at other banks,0,28,1,married/widowed,1,4,skilled employee / official,1,None,1,1 year - 4 years,14.450498824350689
24,business,2,car or other,0,0,2,delay in paying off loans in the past,1,27,1,single,1,2,skilled employee / official,1,Low,1,0 year - 1 year,15.972838638301182
14,new vehicle,4,car or other,0,0,2,delay in paying off loans in the past,0,27,1,single,1,2,unskilled - resident,1,Low,0,1 year - 4 years,13.594863886848652
18,new vehicle,4,car or other,0,0,1,delay in paying off loans in the past,0,43,1,single,1,4,skilled employee / official,1,None,0,7 years and up,14.879876407903792
24,electronic equipment,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,22,1,married/widowed,1,1,skilled employee / official,1,Low,0,0 year - 1 year,14.527970049556592
24,used vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,43,1,single,1,4,skilled employee / official,1,None,0,4 years - 7 years,14.602603351366747
15,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,0,27,1,married/widowed,1,2,skilled employee / official,0,Low,0,0 year - 1 year,13.867153791116111
24,electronic equipment,3,car or other,0,0,1,existing loans paid back duly till now,0,26,1,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,High,0,7 years and up,14.989539485917138
12,new vehicle,4,real estate,0,0,3,critical/pending loans at other banks,1,28,1,married/widowed,1,2,skilled employee / official,1,High,0,4 years - 7 years,13.7525707581904
24,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,20,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,7 years and up,14.492020097371196
33,used vehicle,3,car or other,0,0,2,critical/pending loans at other banks,0,35,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,4 years - 7 years,15.79692573434555
12,business,4,car or other,0,0,2,critical/pending loans at other banks,1,42,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,1,None,14.644935356816768
10,new vehicle,3,No Property,0,0,1,existing loans paid back duly till now,0,40,1,single,0,2,unskilled - resident,0,High,0,1 year - 4 years,14.28363742719715
24,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,35,0,divorced/separated/married,1,2,skilled employee / official,1,None,0,1 year - 4 years,14.13831843239143
36,used vehicle,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,35,1,single,1,2,skilled employee / official,1,Low,0,7 years and up,15.580583761929825
12,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,1,33,1,single,1,1,unskilled - resident,1,Low,0,0 year - 1 year,14.762912284863482
18,education,1,car or other,0,0,2,delay in paying off loans in the past,0,23,0,divorced/separated/married,0,2,skilled employee / official,1,None,0,1 year - 4 years,15.952159123413688
21,new vehicle,1,car or other,0,0,1,existing loans paid back duly till now,0,31,0,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,High,1,4 years - 7 years,14.838680651465523
18,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,33,0,divorced/separated/married,1,2,skilled employee / official,1,None,0,1 year - 4 years,13.85665250129545
15,new vehicle,2,car or other,0,0,1,existing loans paid back duly till now,0,20,0,divorced/separated/married,0,3,skilled employee / official,1,High,0,4 years - 7 years,14.97427676945213
12,used vehicle,4,car or other,0,0,1,existing loans paid back duly till now,0,30,1,single,1,2,skilled employee / official,1,None,0,1 year - 4 years,14.522560643693213
12,new vehicle,2,real estate,0,0,2,critical/pending loans at other banks,0,47,1,single,1,3,unskilled - resident,1,Low,0,4 years - 7 years,13.772603056952995
